PERSON,GPE
haile gebrselassie,italy
jaouad gharib,brazil
marilson gomes,morocco
santos,morocco
santos,brazil
woodcock,italy
raoul bova,italy
hollywood,italy
queen sofía,france
jacques chirac,spain
ilham aliyev,spain
azerbaijan,spain
rostropovich,spain
bernadette chirac,france
rostropovich,france
pedro almodóvar 's,spain
mahmoud ahmadinejad,iran
mahmoud ahmadinejad,saudi arabia
steinbrück,germany
olmert,israel
gabi ashkenazi,israel
dan halutz,israel
carl friedrich von weizsäcker,germany
luciano berio,italy
luigi dallapiccola,italy
franco donatoni,italy
jens voigt,germany
filippo magnini,italy
filippo magnini,canada
brent hayden,italy
brent hayden,canada
nicholas ii,russia
russell smith,canada
portland,canada
oregon,canada
zahra eshraghi,iran
ayatollah ruhollah khomeini,iran
aziz pahad,zimbabwe
lulzim basha,albania
